Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
1,https://github.com/ETHAROW/appletv/blob/main/4k/buliding1.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
2,https://github.com/ETHAROW/appletv/blob/main/4k/buliding2.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
3,https://github.com/ETHAROW/appletv/blob/main/4k/buliding3.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
Welcome,https://github.com/ETHAROW/appletv/blob/main/4k/buliding4.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
4,https://github.com/ETHAROW/appletv/blob/main/4k/buliding5.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
5,https://github.com/ETHAROW/appletv/blob/main/4k/buliding6.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
6,https://github.com/ETHAROW/appletv/blob/main/4k/buliding7.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
Instagram,https://github.com/ETHAROW/appletv/blob/main/4k/instagram.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
7,https://github.com/ETHAROW/appletv/blob/main/4k/buliding7.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
8,https://github.com/ETHAROW/appletv/blob/main/4k/buliding8.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
9,https://github.com/ETHAROW/appletv/blob/main/4k/buliding9.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
Twitter,https://github.com/ETHAROW/appletv/blob/main/4k/twitter.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
10,https://github.com/ETHAROW/appletv/blob/main/4k/buliding10.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
11,https://github.com/ETHAROW/appletv/blob/main/4k/buliding11.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
12,https://github.com/ETHAROW/appletv/blob/main/4k/buliding12.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
Covid,https://github.com/ETHAROW/appletv/blob/main/4k/covid.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
13,https://github.com/ETHAROW/appletv/blob/main/4k/buliding13.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
14,https://github.com/ETHAROW/appletv/blob/main/4k/buliding14.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
15,https://github.com/ETHAROW/appletv/blob/main/4k/buliding15.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
Distance,https://github.com/ETHAROW/appletv/blob/main/4k/social.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
16,https://github.com/ETHAROW/appletv/blob/main/4k/buliding16.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
17,https://github.com/ETHAROW/appletv/blob/main/4k/buliding17.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
18,https://github.com/ETHAROW/appletv/blob/main/4k/buliding18.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
Covid,https://github.com/ETHAROW/appletv/blob/main/4k/covid.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
19,https://github.com/ETHAROW/appletv/blob/main/4k/buliding19.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
20,https://github.com/ETHAROW/appletv/blob/main/4k/buliding20.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
21,https://github.com/ETHAROW/appletv/blob/main/4k/buliding21.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
instagram,https://github.com/ETHAROW/appletv/blob/main/4k/buliding1.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
22,https://github.com/ETHAROW/appletv/blob/main/4k/buliding22.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
23,https://github.com/ETHAROW/appletv/blob/main/4k/buliding23.png,0:00:10,1:00:00,1/12/18 1:00,29/12/25 1:00,yes
